timestamp,route,stop_index,time_of_day,traffic_factor,count
2026-01-04T07:30:00,12B,6,7.5,1.06,8
2026-01-04T07:45:00,17C,7,7.75,1.26,10
2026-01-04T08:00:00,04L,8,8.0,1.3,11
2026-01-04T08:15:00,08A,9,8.25,0.77,10
2026-01-04T08:30:00,12B,10,8.5,1.09,7
2026-01-04T08:45:00,17C,11,8.75,0.62,6
2026-01-04T09:00:00,04L,0,9.0,1.17,5
2026-01-04T09:15:00,08A,1,9.25,1.02,9
2026-01-04T09:30:00,12B,2,9.5,0.8,9
2026-01-04T09:45:00,17C,3,9.75,0.69,10
2026-01-04T10:00:00,04L,4,10.0,1.53,16
2026-01-04T10:15:00,08A,5,10.25,1.09,4
2026-01-04T10:30:00,12B,6,10.5,1.45,10
2026-01-04T10:45:00,17C,7,10.75,0.87,5
2026-01-04T11:00:00,04L,8,11.0,1.13,9
2026-01-04T11:15:00,08A,9,11.25,0.95,14
2026-01-04T11:30:00,12B,10,11.5,0.82,6
2026-01-04T11:45:00,17C,11,11.75,0.65,7
2026-01-04T12:00:00,04L,0,12.0,0.65,8
2026-01-04T12:15:00,08A,1,12.25,1.18,9
2026-01-04T12:30:00,12B,2,12.5,1.4,13
2026-01-04T12:45:00,17C,3,12.75,0.63,10
2026-01-04T13:00:00,04L,4,13.0,1.07,10
2026-01-04T13:15:00,08A,5,13.25,0.61,3
2026-01-04T13:30:00,12B,6,13.5,0.93,8
2026-01-04T13:45:00,17C,7,13.75,0.95,10
2026-01-04T14:00:00,04L,8,14.0,1.43,11
2026-01-04T14:15:00,08A,9,14.25,0.79,8
2026-01-04T14:30:00,12B,10,14.5,1.43,7
2026-01-04T14:45:00,17C,11,14.75,0.88,5
2026-01-04T15:00:00,04L,0,15.0,1.19,9
2026-01-04T15:15:00,08A,1,15.25,1.41,13
2026-01-04T15:30:00,12B,2,15.5,1.6,11
2026-01-04T15:45:00,17C,3,15.75,1.45,12
2026-01-04T16:00:00,04L,4,16.0,0.63,6
2026-01-04T16:15:00,08A,5,16.25,0.83,6
2026-01-04T16:30:00,12B,6,16.5,1.12,6
2026-01-04T16:45:00,17C,7,16.75,1.45,15
2026-01-04T17:00:00,04L,8,17.0,1.04,8
2026-01-04T17:15:00,08A,9,17.25,0.84,9
2026-01-04T17:30:00,12B,10,17.5,1.5,6
2026-01-04T17:45:00,17C,11,17.75,1.48,9
2026-01-04T18:00:00,04L,0,18.0,0.77,3
2026-01-04T18:15:00,08A,1,18.25,1.03,10
2026-01-04T18:30:00,12B,2,18.5,0.98,8
2026-01-04T18:45:00,17C,3,18.75,0.61,8
2026-01-04T19:00:00,04L,4,19.0,1.35,13
2026-01-04T19:15:00,08A,5,19.25,1.16,7
2026-01-04T19:30:00,12B,6,19.5,0.9,8
2026-01-04T19:45:00,17C,7,19.75,1.56,10
2026-01-04T20:00:00,04L,8,20.0,0.61,6
2026-01-04T20:15:00,08A,9,20.25,0.62,6
2026-01-04T20:30:00,12B,10,20.5,0.66,5
2026-01-04T20:45:00,17C,11,20.75,1.28,9
2026-01-04T21:00:00,04L,0,21.0,0.63,9
2026-01-04T21:15:00,08A,1,21.25,1.49,10
2026-01-04T21:30:00,12B,2,21.5,0.99,7
2026-01-04T21:45:00,17C,3,21.75,1.42,13
2026-01-04T22:00:00,04L,4,22.0,1.29,16
2026-01-04T22:15:00,08A,5,22.25,1.19,8
2026-01-04T22:30:00,12B,6,22.5,1.26,10
2026-01-04T22:45:00,17C,7,22.75,0.91,7
2026-01-04T23:00:00,04L,8,23.0,1.33,12
2026-01-04T23:15:00,08A,9,23.25,1.28,10
2026-01-04T23:30:00,12B,10,23.5,1.35,8
2026-01-04T23:45:00,17C,11,23.75,1.39,8
2026-01-05T00:00:00,04L,0,0.0,0.94,5
2026-01-05T00:15:00,08A,1,0.25,1.02,5
2026-01-05T00:30:00,12B,2,0.5,1.11,7
2026-01-05T00:45:00,17C,3,0.75,0.63,7
2026-01-05T01:00:00,04L,4,1.0,0.62,5
2026-01-05T01:15:00,08A,5,1.25,0.63,7
2026-01-05T01:30:00,12B,6,1.5,0.72,4
2026-01-05T01:45:00,17C,7,1.75,1.58,9
2026-01-05T02:00:00,04L,8,2.0,1.08,14
2026-01-05T02:15:00,08A,9,2.25,1.16,11
2026-01-05T02:30:00,12B,10,2.5,0.74,7
2026-01-05T02:45:00,17C,11,2.75,1.5,8
2026-01-05T03:00:00,04L,0,3.0,1.49,12
2026-01-05T03:15:00,08A,1,3.25,1.59,13
2026-01-05T03:30:00,12B,2,3.5,1.42,10
2026-01-05T03:45:00,17C,3,3.75,0.99,7
2026-01-05T04:00:00,04L,4,4.0,0.8,10
2026-01-05T04:15:00,08A,5,4.25,0.86,8
2026-01-05T04:30:00,12B,6,4.5,0.84,5
2026-01-05T04:45:00,17C,7,4.75,1.32,10
2026-01-05T05:00:00,04L,8,5.0,0.69,8
2026-01-05T05:15:00,08A,9,5.25,1.57,16
2026-01-05T05:30:00,12B,10,5.5,0.77,4
2026-01-05T05:45:00,17C,11,5.75,1.51,14
2026-01-05T06:00:00,04L,0,6.0,0.71,3
2026-01-05T06:15:00,08A,1,6.25,1.52,14
2026-01-05T06:30:00,12B,2,6.5,0.86,7
2026-01-05T06:45:00,17C,3,6.75,0.86,9
2026-01-05T07:00:00,04L,4,7.0,0.81,8
2026-01-05T07:15:00,08A,5,7.25,1.23,6
2026-01-05T07:30:00,12B,6,7.5,0.83,10
2026-01-05T07:45:00,17C,7,7.75,0.84,8
2026-01-05T08:00:00,04L,8,8.0,0.81,8
2026-01-05T08:15:00,08A,9,8.25,1.29,16
2026-01-05T08:30:00,12B,10,8.5,1.47,8
2026-01-05T08:45:00,17C,11,8.75,0.83,6
2026-01-05T09:00:00,04L,0,9.0,0.79,5
2026-01-05T09:15:00,08A,1,9.25,1.23,8
2026-01-05T09:30:00,12B,2,9.5,0.69,6
2026-01-05T09:45:00,17C,3,9.75,0.97,8
2026-01-05T10:00:00,04L,4,10.0,1.55,18
2026-01-05T10:15:00,08A,5,10.25,0.86,7
2026-01-05T10:30:00,12B,6,10.5,0.65,6
2026-01-05T10:45:00,17C,7,10.75,1.21,7
2026-01-05T11:00:00,04L,8,11.0,1.19,14
2026-01-05T11:15:00,08A,9,11.25,1.44,15
2026-01-05T11:30:00,12B,10,11.5,1.6,8
2026-01-05T11:45:00,17C,11,11.75,1.18,10
2026-01-05T12:00:00,04L,0,12.0,0.86,5
2026-01-05T12:15:00,08A,1,12.25,1.43,7
2026-01-05T12:30:00,12B,2,12.5,0.8,9
2026-01-05T12:45:00,17C,3,12.75,1.42,11
2026-01-05T13:00:00,04L,4,13.0,1.27,12
2026-01-05T13:15:00,08A,5,13.25,1.11,8
2026-01-05T13:30:00,12B,6,13.5,1.41,11
2026-01-05T13:45:00,17C,7,13.75,0.89,11
2026-01-05T14:00:00,04L,8,14.0,1.46,13
2026-01-05T14:15:00,08A,9,14.25,1.41,12
2026-01-05T14:30:00,12B,10,14.5,1.44,8
2026-01-05T14:45:00,17C,11,14.75,1.09,9
2026-01-05T15:00:00,04L,0,15.0,1.23,5
2026-01-05T15:15:00,08A,1,15.25,0.8,10
2026-01-05T15:30:00,12B,2,15.5,1.56,13
2026-01-05T15:45:00,17C,3,15.75,0.83,7
2026-01-05T16:00:00,04L,4,16.0,1.38,13
2026-01-05T16:15:00,08A,5,16.25,1.47,11
2026-01-05T16:30:00,12B,6,16.5,1.38,8
2026-01-05T16:45:00,17C,7,16.75,1.18,8
2026-01-05T17:00:00,04L,8,17.0,1.18,8
2026-01-05T17:15:00,08A,9,17.25,0.61,8
2026-01-05T17:30:00,12B,10,17.5,1.4,9
2026-01-05T17:45:00,17C,11,17.75,1.44,8
2026-01-05T18:00:00,04L,0,18.0,1.32,11
2026-01-05T18:15:00,08A,1,18.25,1.53,10
2026-01-05T18:30:00,12B,2,18.5,1.32,9
2026-01-05T18:45:00,17C,3,18.75,1.43,16
2026-01-05T19:00:00,04L,4,19.0,1.29,13
2026-01-05T19:15:00,08A,5,19.25,0.67,4
2026-01-05T19:30:00,12B,6,19.5,0.91,8
2026-01-05T19:45:00,17C,7,19.75,0.68,5
2026-01-05T20:00:00,04L,8,20.0,1.52,12
2026-01-05T20:15:00,08A,9,20.25,0.89,7
2026-01-05T20:30:00,12B,10,20.5,0.92,4
2026-01-05T20:45:00,17C,11,20.75,1.17,9
2026-01-05T21:00:00,04L,0,21.0,0.88,9
2026-01-05T21:15:00,08A,1,21.25,1.57,13
2026-01-05T21:30:00,12B,2,21.5,0.7,5
2026-01-05T21:45:00,17C,3,21.75,0.8,9
2026-01-05T22:00:00,04L,4,22.0,1.26,16
2026-01-05T22:15:00,08A,5,22.25,1.23,8
2026-01-05T22:30:00,12B,6,22.5,0.74,9
2026-01-05T22:45:00,17C,7,22.75,1.35,8
2026-01-05T23:00:00,04L,8,23.0,0.7,10
2026-01-05T23:15:00,08A,9,23.25,1.41,17
2026-01-05T23:30:00,12B,10,23.5,1.03,4
2026-01-05T23:45:00,17C,11,23.75,1.05,5
2026-01-06T00:00:00,04L,0,0.0,1.02,9
2026-01-06T00:15:00,08A,1,0.25,1.09,11
2026-01-06T00:30:00,12B,2,0.5,0.76,6
2026-01-06T00:45:00,17C,3,0.75,1.11,8
2026-01-06T01:00:00,04L,4,1.0,1.11,15
2026-01-06T01:15:00,08A,5,1.25,1.51,11
2026-01-06T01:30:00,12B,6,1.5,1.51,12
2026-01-06T01:45:00,17C,7,1.75,1.59,12
2026-01-06T02:00:00,04L,8,2.0,1.07,8
2026-01-06T02:15:00,08A,9,2.25,0.69,12
2026-01-06T02:30:00,12B,10,2.5,1.5,11
2026-01-06T02:45:00,17C,11,2.75,1.21,6
2026-01-06T03:00:00,04L,0,3.0,1.43,6
2026-01-06T03:15:00,08A,1,3.25,1.31,12
2026-01-06T03:30:00,12B,2,3.5,0.96,8
2026-01-06T03:45:00,17C,3,3.75,0.71,8
2026-01-06T04:00:00,04L,4,4.0,1.03,9
2026-01-06T04:15:00,08A,5,4.25,1.09,5
2026-01-06T04:30:00,12B,6,4.5,1.02,5
2026-01-06T04:45:00,17C,7,4.75,1.03,10
2026-01-06T05:00:00,04L,8,5.0,0.76,11
2026-01-06T05:15:00,08A,9,5.25,1.31,11
2026-01-06T05:30:00,12B,10,5.5,1.27,7
2026-01-06T05:45:00,17C,11,5.75,1.46,10
2026-01-06T06:00:00,04L,0,6.0,0.77,7
2026-01-06T06:15:00,08A,1,6.25,0.97,11
2026-01-06T06:30:00,12B,2,6.5,1.21,9
2026-01-06T06:45:00,17C,3,6.75,1.55,14
2026-01-06T07:00:00,04L,4,7.0,1.15,9
2026-01-06T07:15:00,08A,5,7.25,1.21,6
2026-01-06T07:30:00,12B,6,7.5,1.25,6
2026-01-06T07:45:00,17C,7,7.75,0.77,9
2026-01-06T08:00:00,04L,8,8.0,0.94,13
2026-01-06T08:15:00,08A,9,8.25,1.31,15
2026-01-06T08:30:00,12B,10,8.5,0.84,3
2026-01-06T08:45:00,17C,11,8.75,0.91,6
2026-01-06T09:00:00,04L,0,9.0,0.8,9
2026-01-06T09:15:00,08A,1,9.25,1.4,9
2026-01-06T09:30:00,12B,2,9.5,0.85,6
2026-01-06T09:45:00,17C,3,9.75,1.19,8
2026-01-06T10:00:00,04L,4,10.0,1.49,12
2026-01-06T10:15:00,08A,5,10.25,1.08,6
